FIRST_NAME           LAST_NAME
-------------------- -------------------------
Steven               King
Bruce                Ernst
Diana                Lorentz
Luis                 Popp
Karen                Colmenares
Shanta               Vollman
James                Marlow
TJ                   Olson
Joshua               Patel
Peter                Vargas
Peter                Tucker
Oliver               Tuvault
Janette              King
Sarath               Sewall
Harrison             Bloom
Sundita              Kumar
Kimberely            Grant
Martha               Sullivan
Nandita              Sarchand
Randall              Perkins
Jennifer             Whalen
Pat                  Fay
Susan                Mavris
Hermann              Baer
William              Gietz

(25 rows affected)


Completion time: 2022-09-08T18:03:15.9728715+05:30
